fecha_raw,source_file
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-23,SOURCE_8137A4DB1061
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-26,SOURCE_ADC7429F32B0
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-27,SOURCE_AEED7FA1211F
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-28,SOURCE_F8990373B364
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-29,SOURCE_A994B6C7E82D
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-10-30,SOURCE_8357078B1556
2019-11-03,SOURCE_317A92A173A2
