fecha_evento,albaran_id,eventos_total,eventos_override,coherence_before,coherence_after,policy_applied,policy_reason,run_id,ts_utc
2028-03-25,AE 296,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 297,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 298,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 299,2,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 300,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-25,AE 301,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 302,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 303,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 304,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 305,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 306,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 307,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 308,4,1,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-26,AE 309,4,3,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-27,AE 311,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-27,AE 312,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-27,AE 313,4,2,0.0,1.0,1,PRODUCT_002_follow_PRODUCT_003_SUPPLIER_009,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-03-27,AE 314,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-01,AE 318,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-01,AE 319,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-02,AE 320,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-02,AE 321,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-02,AE 322,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-02,AE 323,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-02,AE 324,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 325,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 326,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 327,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 328,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 329,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-05,AE 330,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-08,AE 331,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-08,AE 332,3,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-09,AE 333,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-09,AE 334,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-09,AE 335,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-09,AE 336,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-09,AE 337,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-10,AE 338,1,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-10,AE 339,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-10,AE 340,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 341,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 342,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 343,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 344,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 345,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 346,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 347,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-11,AE 348,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-12,AE 349,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-12,AE 350,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-12,AE 351,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 352,3,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 353,2,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 354,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 355,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 356,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 357,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-16,AE 358,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-17,AE 359,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-17,AE 360,4,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-17,AE 363,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-18,AE 364,2,0,1.0,1.0,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-22,AE 370,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-22,AE 371,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-22,AE 372,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
2028-04-23,AE 373,4,0,,,0,,20260305T160209Z,2026-03-05T16:02:09.052211+00:00
